name,definition,cas
DCHP (Dicyclohexyl Phthalate),DCHP (Dicyclohexyl Phthalate),84-61-7
"DDD (O,P)","DDD (O,P)",
"DDD (P,P)","DDD (P,P)",
"DDE (O,P)","DDE (O,P)",
"DDE (P,P)","DDE (P,P)",
DDT (Dichlorodiphenyltrichloroethane),DDT (Dichlorodiphenyltrichloroethane),
"DDT (O,P)","DDT (O,P)",
"DDT (P,P)","DDT (P,P)",
DDT Total,DDT Total,
DEHP (Di(2-ethylhexyl) Phthalate),DEHP (Di(2-ethylhexyl) Phthalate),117-81-7
delta-BHC,delta-BHC,
Demeton,Demeton,
Demeton-O,Demeton-O,
Demetons,Demetons,8065-48-3
Demeton-S-methyl,Demeton-S-methyl,
DEP (Diethyl Phthalate),DEP (Diethyl Phthalate),84-66-2
Deposited Dust,Deposited Dust,
Desmetryne,Desmetryne,
Diallate,Diallate,
Diallyl Phthalate,Diallyl Phthalate,131-17-9
"Diatomaceous Earth, Natural, Respirable Dust","Diatomaceous Earth, Natural, Respirable Dust",61790-53-2
Diazinon,Diazinon,333-41-5
"Dibenz(a,h)anthracene","Dibenz(a,h)anthracene",
"Dibenz(a,h)anthracene (PAH)","Dibenz(a,h)anthracene (PAH)",
Dibenzofuran,Dibenzofuran,
Dibenzothiophene,Dibenzothiophene,
Dibenzoyl Peroxide,Dibenzoyl Peroxide,94-36-0
Dibismuth Tritelluride,Dibismuth Tritelluride,1304-82-1
Diboron Trioxide,Diboron Trioxide,1303-86-2
Dibromo-3-chloropropane,Dibromo-3-chloropropane,
Dibromoacetonitrile,Dibromoacetonitrile,3252-43-5
Dibromochloromethane,Dibromochloromethane,124-48-1
Dibromofluoromethane,Dibromofluoromethane,
Dibromomethane,Dibromomethane,
Dibutyl Hydrogen Phosphate,Dibutyl Hydrogen Phosphate,107-66-4
Dibutyl Tin,Dibutyl Tin,
Dibutylbis(oxylauroyl)tin,Dibutylbis(oxylauroyl)tin,
Dicamba,Dicamba,
Dichlobenil,Dichlobenil,
Dichlofluanid,Dichlofluanid,
Dichloroacetate,Dichloroacetate,79-43-6
Dichloroacetonitrile,Dichloroacetonitrile,3018-12-0
Dichloroacetylene,Dichloroacetylene,7572-29-4
Dichloroaniline,Dichloroaniline,
Dichlorobenzene,Dichlorobenzene,25321-22-6
Dichlorobromethane,Dichlorobromethane,
Dichlorodifluoromethane,Dichlorodifluoromethane,
Dichlorodiphenyldichloroethane,Dichlorodiphenyldichloroethane,
Dichlorodiphenyldichloroethylene,Dichlorodiphenyldichloroethylene,
Dichlorofluoromethane,Dichlorofluoromethane,75-43-4
Dichloromethane,Dichloromethane,75-09-2
Dichloronitrobenzene,Dichloronitrobenzene,
Dichlorophen,Dichlorophen,97-23-4
Dichlorprop,Dichlorprop,120-36-5
Dichlorvos,Dichlorvos,62-73-7
Diclofol,Diclofol,
Dicyclopentadiene,Dicyclopentadiene,77-73-6
Dieldrin,Dieldrin,60-57-1
Diethyl Ether,Diethyl Ether,60-29-7
Diethyl Sulphate,Diethyl Sulphate,64-67-5
Diethylamine,Diethylamine,109-89-7
Diethylphthalate,Diethylphthalate,
Differential Pressure,Differential Pressure,
Diflubenzuron,Diflubenzuron,35367-38-5
Dihydrogen Selenide (As Se),Dihydrogen Selenide (As Se),2148909
Diisobutyl Phthalate,Diisobutyl Phthalate,84-69-5
Diisodecyl Phthalate,Diisodecyl Phthalate,26761-40-0
Diisononyl Phthalate,Diisononyl Phthalate,28553-12-0
Diisooctyl Phthalate,Diisooctyl Phthalate,27554-26-3
Diisopropyl Ether,Diisopropyl Ether,108-20-3
Diisopropylamine,Diisopropylamine,108-18-9
Dimethoate,Dimethoate,60-51-5
Dimethoxymethane,Dimethoxymethane,109-87-5
Dimethyl Ether,Dimethyl Ether,115-10-6
Dimethyl Sulphate,Dimethyl Sulphate,77-78-1
Dimethylamine,Dimethylamine,124-40-3
Dimethyldisulphide,Dimethyldisulphide,
Dimethylether,Dimethylether,
Dimethylethylphenol,Dimethylethylphenol,
Dimethylformamide,Dimethylformamide,68-12-2
Dimethylphenols,Dimethylphenols,
Dimethylphthalate,Dimethylphthalate,
Dimethylsulphide,Dimethylsulphide,
Di-n-butyl phthalate,Di-n-butyl phthalate,
Dinitrobenzenes,Dinitrobenzenes,25154-54-5
Di-n-octyl phthalate,Di-n-octyl phthalate,
Dinonyl Phthalate,Dinonyl Phthalate,84-76-4
Dinoseb,Dinoseb,
Dioctyl Phthalate,Dioctyl Phthalate,
Dioxin-like PCBs (WHO-TEQ  Birds),Dioxin-like PCBs (WHO-TEQ  Birds),
Dioxin-like PCBs (WHO-TEQ  Fish),Dioxin-like PCBs (WHO-TEQ  Fish),
Dioxin-like PCBs (WHO-TEQ Humans / Mammals),Dioxin-like PCBs (WHO-TEQ Humans / Mammals),
Dioxins / furans (I-TEQ),Dioxins / furans (I-TEQ),
Dioxins / furans (WHO-TEQ Birds),Dioxins / furans (WHO-TEQ Birds),
Dioxins / furans (WHO-TEQ Fish),Dioxins / furans (WHO-TEQ Fish),
Dioxins / furans (WHO-TEQ Humans / Mammals),Dioxins / furans (WHO-TEQ Humans / Mammals),
Diphenyl Ether,Diphenyl Ether,101-84-8
Diphenylamine,Diphenylamine,122-39-4
Diphosphorus Pentasulphide,Diphosphorus Pentasulphide,1314-80-3
Diphosphorus Pentoxide,Diphosphorus Pentoxide,1314-56-3
Dipropyl phthalate,Dipropyl phthalate,
Diquat Dibromide,Diquat Dibromide,85-00-7
Discharge Flow Rate,Discharge Flow Rate,
Discharge Rate Maximum,Discharge Rate Maximum,
Discharge Volume Daily,Discharge Volume Daily,
Discharge Volume Monthly,Discharge Volume Monthly,
Disodium Disulphite,Disodium Disulphite,7681-57-4
Disodium Tetraborate Decahydrate,Disodium Tetraborate Decahydrate,1303-96-4
Disodium Tetraborate Pentahydrate,Disodium Tetraborate Pentahydrate,11130-12-4
"Disodium Tetraborate, Anhydrous","Disodium Tetraborate, Anhydrous",1330-43-4
Dissolved or Emulsified Hydrocarbons,Dissolved or Emulsified Hydrocarbons,
Dissolved Organic Carbon,Dissolved Organic Carbon,
Dissolved Oxygen,Dissolved Oxygen,
Disulfoton,Disulfoton,
Disulphur Dichloride,Disulphur Dichloride,10025-67-9
Diuron,Diuron,330-54-1
DMP (Dimethyl Phthalate),DMP (Dimethyl Phthalate),131-11-3
DO (Dissolved Oxygen),DO (Dissolved Oxygen),7782-44-7
DOPs (Dioctyl Phthalates),DOPs (Dioctyl Phthalates),
Doramectin,Doramectin,117704-25-3
DTPA,DTPA,146724-95-0
Dust,Dust,
Dust Visible (Airborne),Dust Visible (Airborne),
E. Coli (faecal coliforms),E. Coli (faecal coliforms),
E.Coli,E.Coli,
EDTA,EDTA,6381-92-6
EDTA (Edetic Acid),EDTA (Edetic Acid),60-00-4
Electrical Conductivity,Electrical Conductivity,
Electrical Energy Exported,Electrical Energy Exported,
Electrical Energy Imported,Electrical Energy Imported,
Electrical Energy Used,Electrical Energy Used,
Emery,Emery,1302-74-5
Endosulfan,Endosulfan,115-29-7
Endosulfan Sulphate,Endosulfan Sulphate,
Endrin,Endrin,72-20-8
Endrin aldehyde,Endrin aldehyde,
Endrin Ketone,Endrin Ketone,
Enflurane,Enflurane,13838-16-9
Entero Viruses,Entero Viruses,
Enterococci,Enterococci,
Environmental Tobacco Smoke (ETS),Environmental Tobacco Smoke (ETS),
Epichlorohydrin,Epichlorohydrin,106-89-8
Epoxyconazole,Epoxyconazole,
Equipment Calibration Due,Equipment Calibration Due,
Equipment Last Calibration,Equipment Last Calibration,
Equipment Serial No,Equipment Serial No,
Equipment Used,Equipment Used,
Escherichia coli (E.coli),Escherichia coli (E.coli),
Ethanal,Ethanal,
Ethane,Ethane,
"Ethane-1,2-diol","Ethane-1,2-diol",107-21-1
Ethanethiol,Ethanethiol,75-08-1
Ethanol,Ethanol,64-17-5
Ethion,Ethion,
Ethoprop,Ethoprop,
Ethyl Acetate,Ethyl Acetate,141-78-6
Ethyl Acrylate,Ethyl Acrylate,140-88-5
Ethyl Benzene,Ethyl Benzene,
Ethyl butyrate,Ethyl butyrate,
Ethyl Chloride,Ethyl Chloride,
Ethyl Chloroformate,Ethyl Chloroformate,541-41-3
Ethyl Cyanoacrylate,Ethyl Cyanoacrylate,7085-85-0
Ethyl Formate,Ethyl Formate,109-94-4
Ethyl methanesulfonate,Ethyl methanesulfonate,
Ethyl methyl Benzenesulphonamide,Ethyl methyl Benzenesulphonamide,
Ethylamine,Ethylamine,75-04-7
Ethylbenzene,Ethylbenzene,100-41-4
Ethylene,Ethylene,
Ethylene Oxide,Ethylene Oxide,75-21-8
Ethylmethylbenzene,Ethylmethylbenzene,
Etrimphos,Etrimphos,
Faecal Coliforms,Faecal Coliforms,
Faecal Streptococci,Faecal Streptococci,
Fenchlorophos,Fenchlorophos,
Fenchlorphos,Fenchlorphos,299-84-3
Fenitrothion,Fenitrothion,122-14-5
Fenoprop,Fenoprop,93-72-1
Fenpropimorph,Fenpropimorph,
Fensulfothion,Fensulfothion,
Fenthion,Fenthion,
Ferrous Foundry Particulate,Ferrous Foundry Particulate,
Flammable Gas,Flammable Gas,
Flare on/off,Flare on/off,
Flour Dust,Flour Dust,
Flow Rate,Flow Rate,
Flucofuron,Flucofuron,370-50-3
Fluoranthene,Fluoranthene,206-44-0
Fluoranthene (PAH),Fluoranthene (PAH),
Fluorene,Fluorene,
Fluoride,Fluoride,16984-48-8
Fluorine,Fluorine,7782-41-4
Fluroxypyr,Fluroxypyr,
Flusialzole,Flusialzole,
Flusilazole,Flusilazole,85509-19-9
Formaldehyde,Formaldehyde,50-00-0
Formaldehyde (HCHO),Formaldehyde (HCHO),
Formamide,Formamide,75-12-7
Formic Acid,Formic Acid,64-18-6
Freon-11,Freon-11,
Freon-113,Freon-113,
Fuel Oil,Fuel Oil,
Furan,Furan,
gamma-BHC,gamma-BHC,
Gas Analyser Run Time,Gas Analyser Run Time,
Gas Flow,Gas Flow,
Gas Flow of Flare,Gas Flow of Flare,
Gas flow rate peak CH4,Gas flow rate peak CH4,
Gas flow rate peak CO2,Gas flow rate peak CO2,
Gas Flow Velocity,Gas Flow Velocity,
Gas Pressure,Gas Pressure,
Gas Screen Value Carbon Dioxide,Gas Screen Value Carbon Dioxide,
Gas Screen Value Methane,Gas Screen Value Methane,
Gas Temp,Gas Temp,
Gas Utilisation,Gas Utilisation,
Gasoline Range Organics,Gasoline Range Organics,
Gasoline Range Organics C5-C12,Gasoline Range Organics C5-C12,
Germane,Germane,7782-65-2
Glutaraldehyde,Glutaraldehyde,111-30-8
"Glycerol, Mist","Glycerol, Mist",56-81-5
Grain Dust,Grain Dust,
Graphite,Graphite,7440-44-0
GRO Surrogate,GRO Surrogate,
Groundwater Level,Groundwater Level,
Gypsum,Gypsum,10101-41-4
Haloforms Total,Haloforms Total,
Halogenated Organic Compounds (total),Halogenated Organic Compounds (total),
Halogenated Solvents,Halogenated Solvents,
Halogenoplatinum Compounds (As Pt),Halogenoplatinum Compounds (As Pt),
Halothane,Halothane,151-67-7
Hardness,Hardness,
Hardness as CaCO3,Hardness as CaCO3,
Hardwood Dust,Hardwood Dust,
Hazardous Pollutants screen,Hazardous Pollutants screen,
HCH Total,HCH Total,
HCH-alpha,HCH-alpha,
HCH-beta,HCH-beta,
HCH-delta,HCH-delta,
HCH-epsilon,HCH-epsilon,
HCH-gamma,HCH-gamma,
Heavy Metals,Heavy Metals,
Helium,Helium,
Heptachlor,Heptachlor,76-44-8
Heptachlor Epoxide,Heptachlor Epoxide,1024-57-3
Heptachlorepoxide,Heptachlorepoxide,
Heptan-2-one,Heptan-2-one,110-43-0
Heptan-3-one,Heptan-3-one,106-35-4
Heptanoic acid,Heptanoic acid,
Hexachlorobenzene,Hexachlorobenzene,118-74-1
Hexachlorobutadiene,Hexachlorobutadiene,87-68-3
Hexachlorobutadiene STLPAM,Hexachlorobutadiene STLPAM,
Hexachlorobutadiene STLPJZ,Hexachlorobutadiene STLPJZ,
Hexachlorocyclohexane,Hexachlorocyclohexane,608-73-1
Hexachlorocyclopentadiene,Hexachlorocyclopentadiene,
Hexachloroethane,Hexachloroethane,
Hexachloronorbornadiene,Hexachloronorbornadiene,
Hexachloropropene,Hexachloropropene,
Hexaconazole,Hexaconazole,
Hexan-2-one,Hexan-2-one,591-78-6
Hexanes,Hexanes,
Hexanoic acid,Hexanoic acid,
Hours Run,Hours Run,
Hydrazine,Hydrazine,302-01-2
Hydrocarbons,Hydrocarbons,
Hydrocarbons - total diesel range organics,Hydrocarbons - total diesel range organics,
Hydrocarbons - total minerals range organics,Hydrocarbons - total minerals range organics,
Hydrocarbons - total phenol range organics,Hydrocarbons - total phenol range organics,
Hydrocarbons - unburned,Hydrocarbons - unburned,
Hydrogen,Hydrogen,
Hydrogen Bromide,Hydrogen Bromide,10035-10-6
Hydrogen chloride,Hydrogen chloride,7647-01-0
Hydrogen Chloride (Gas and Aerosol Mists),Hydrogen Chloride (Gas and Aerosol Mists),7647-01-0
Hydrogen Cyanide,Hydrogen Cyanide,74-90-8
Hydrogen fluoride,Hydrogen fluoride,7664-39-3
Hydrogen Fluoride (As F),Hydrogen Fluoride (As F),7664-39-3
Hydrogen Ion Content,Hydrogen Ion Content,
Hydrogen Peroxide,Hydrogen Peroxide,7722-84-1
Hydrogen Sulphide,Hydrogen Sulphide,2148878
Hydrogen Sulphide POD,Hydrogen Sulphide POD,
Hydroquinone,Hydroquinone,123-31-9
Imazethapyr,Imazethapyr,81335-77-5
Indene,Indene,95-13-6
"Indeno(1,2,3 cd)pyrene","Indeno(1,2,3 cd)pyrene",
"Indeno[1,2,3-cd]pyrene","Indeno[1,2,3-cd]pyrene",193-39-5
Indium and Its Compounds (As In),Indium and Its Compounds (As In),
Iodine,Iodine,7553-56-2
Iodoform,Iodoform,75-47-8
Iodomethane,Iodomethane,74-88-4
Ionic Balance,Ionic Balance,
Ioxynil,Ioxynil,1689-83-4
Iron,Iron,7439-89-6
Iron - Total Unfiltered,Iron - Total Unfiltered,
"Iron Oxide, Fume (As Fe)","Iron Oxide, Fume (As Fe)",1309-37-1
Iron Salts (As Fe),Iron Salts (As Fe),
Isobutyl Acetate,Isobutyl Acetate,110-19-0
iso-Butyric acid,iso-Butyric acid,
iso-Caproic acid,iso-Caproic acid,
"Isocyanates, All (As -NCO)","Isocyanates, All (As -NCO)",
Isodrin,Isodrin,465-73-6
Isoflurane,Isoflurane,26675-46-7
Isooctyl Alcohol,Isooctyl Alcohol,26952-21-6
Isopentane,Isopentane,78-78-4
Isophorone,Isophorone,
Isopropyl Acetate,Isopropyl Acetate,108-21-4
Isopropyl Chloroformate,Isopropyl Chloroformate,108-23-6
Isopropylbenzene,Isopropylbenzene,
iso-propyltoluene,iso-propyltoluene,
Isoproturon,Isoproturon,34123-59-6
Isosafrole,Isosafrole,
iso-Valeric acid,iso-Valeric acid,
Ivermectin,Ivermectin,70288-86-7
"Kaolin, Respirable Dust","Kaolin, Respirable Dust",1332-58-7
Kepone,Kepone,
Ketene,Ketene,463-51-4
Kresoxym-methyl,Kresoxym-methyl,
Lab Job No,Lab Job No,
Lab Sample Ref,Lab Sample Ref,
Lab Status,Lab Status,
Lab Turnaround Total Days,Lab Turnaround Total Days,
Laboratory Used,Laboratory Used,
Leachate Level,Leachate Level,
Lead,Lead,7439-92-1
LEL,LEL,
Lime,Lime,
Limestone,Limestone,1317-65-3
Lindane,Lindane,58-89-9
Lindane-delta,Lindane-delta,
Linuron,Linuron,330-55-2
Liquefied Petroleum Gas,Liquefied Petroleum Gas,68476-85-7
Lithium,Lithium,
Lithium Hydride,Lithium Hydride,7580-67-8
Lithium Hydroxide,Lithium Hydroxide,1310-65-2
"Lithium, Dissolved","Lithium, Dissolved",
Magnesite,Magnesite,546-93-0
Magnesium,Magnesium,
Magnesium Hardness as CaCO3,Magnesium Hardness as CaCO3,
Magnesium Oxide (As Mg),Magnesium Oxide (As Mg),1309-48-4
Malachite Green,Malachite Green,2437-29-8
Malathion,Malathion,121-75-5
Maleic Anhydride,Maleic Anhydride,108-31-6
Mancozeb,Mancozeb,2234562
Maneb,Maneb,12427-38-2
Manganese,Manganese,7439-96-5
Man-Made Vitreous Fibres (MMVF),Man-Made Vitreous Fibres (MMVF),
Marble,Marble,1317-65-3
Maximum Daily Flow,Maximum Daily Flow,
MCPA,MCPA,
MCPA ((4-Chloro-2-methylphenoxy)acetic Acid),MCPA ((4-Chloro-2-methylphenoxy)acetic Acid),94-74-6
MCPB,MCPB,
Mean Daily Flow,Mean Daily Flow,
Mecoprop,Mecoprop,93-65-2
Mercaptoacetic Acid,Mercaptoacetic Acid,68-11-1
Mercury,Mercury,7439-97-6
Mercury (II) nitrate,Mercury (II) nitrate,
Mercury and its compounds,Mercury and its compounds,
Mercury and its compounds expressed as Mercury (Total Hg),Mercury and its compounds expressed as Mercury (Total Hg),
Merphos,Merphos,
Mesosulfuron-methyl,Mesosulfuron-methyl,
Metalaxyl,Metalaxyl,
Metaldehyde,Metaldehyde,
"Metals Total and Dissolved ( Zn, CU, Cd, Pb, Ni, Hg )","Metals Total and Dissolved ( Zn, CU, Cd, Pb, Ni, Hg )",
Methabenzthiazuron,Methabenzthiazuron,
Methacriphos,Methacriphos,
Methacrylic Acid,Methacrylic Acid,79-41-4
Methacrylonitrile,Methacrylonitrile,126-98-7
Methanal,Methanal,
Methane,Methane,
Methane Flux,Methane Flux,
Methane Peak,Methane Peak,
Methanethiol,Methanethiol,74-93-1
Methanol,Methanol,67-56-1
Methiocarb,Methiocarb,2032-65-7
Methoxychlor,Methoxychlor,72-43-5
"Methoxychlor o,p","Methoxychlor o,p",
"Methoxychlor p,p","Methoxychlor p,p",
Methyl Acetate,Methyl Acetate,79-20-9
Methyl Cyanoacrylate,Methyl Cyanoacrylate,137-05-3
Methyl Ethyl Ketone Peroxides (MEKP),Methyl Ethyl Ketone Peroxides (MEKP),1338-23-4
Methyl ethyl phenol,Methyl ethyl phenol,
Methyl Methacrylate,Methyl Methacrylate,80-62-6
Methyl tert-Butyl Ether,Methyl tert-Butyl Ether,1634-04-4
Methyl tertiary-butyl ether (MTBE),Methyl tertiary-butyl ether (MTBE),
Methylcyclohexanol,Methylcyclohexanol,25639-42-3
Methylene Chloride,Methylene Chloride,
Methylparathion,Methylparathion,
Methylphenols,Methylphenols,
Metolachlor,Metolachlor,51218-45-2
Mevinphos,Mevinphos,7786-34-7
Mica,Mica,12001-26-2
Microcystin-LR,Microcystin-LR,
Mineral Oil,Mineral Oil,
Mineral Oils,Mineral Oils,
Mineral Oils and Hydrocarbons,Mineral Oils and Hydrocarbons,8012-95-1
MMMF (Machine-Made Mineral Fibre),MMMF (Machine-Made Mineral Fibre),
Molinate,Molinate,2212-67-1
Molybdenum,Molybdenum,7439-98-7
Monlinuron,Monlinuron,
Monobutyl Tin as Cation,Monobutyl Tin as Cation,
Monochloramine,Monochloramine,10599-90-3
Monochloroacetic Acid,Monochloroacetic Acid,79-11-8
Monuron,Monuron,
Morpholine,Morpholine,110-91-8
Mthe,Mthe,
"N,N-Dimethylacetamide","N,N-Dimethylacetamide",127-19-5
"N,N-Dimethylaniline","N,N-Dimethylaniline",121-69-7
"N,N-Dimethylethylamine","N,N-Dimethylethylamine",598-56-1
Naled,Naled,
Naphthalene,Naphthalene,91-20-3
National Grid Ref,National Grid Ref,
n-Butyl Acrylate,n-Butyl Acrylate,141-32-2
n-Butyl Chloroformate,n-Butyl Chloroformate,592-34-7
n-Butylbenzene,n-Butylbenzene,
n-Butyric acid,n-Butyric acid,
n-Caproic acid,n-Caproic acid,
n-Dibutyl phthalate,n-Dibutyl phthalate,
Neopentane,Neopentane,463-82-1
Net total annual production,Net total annual production,
n-Heptane,n-Heptane,142-82-5
n-Hexane,n-Hexane,110-54-3
Nickel,Nickel,7440-02-0
Nicotine,Nicotine,54-11-5
Nitrate,Nitrate,769-73-2
Nitric Acid,Nitric Acid,7697-37-2
Nitrite,Nitrite,14797-65-0
Nitrobenzene,Nitrobenzene,98-95-3
Nitrogen,Nitrogen,7727-37-9
Nitrogen Dioxide,Nitrogen Dioxide,10102-44-0
Nitrogen Oxides,Nitrogen Oxides,
Nitromethane,Nitromethane,75-52-5
Nitrous Oxide,Nitrous Oxide,10024-97-2
Nitrous oxide (N2O),Nitrous oxide (N2O),10024-97-2
N-Methylaniline,N-Methylaniline,100-61-8
NMVOCs,NMVOCs,
n-Nitrosodiethylamine,n-Nitrosodiethylamine,
n-Nitrosodimethylamine,n-Nitrosodimethylamine,
n-Nitroso-di-N-butylamine,n-Nitroso-di-N-butylamine,
n-Nitroso-di-n-propylamine,n-Nitroso-di-n-propylamine,
n-Nitrosodiphenylamine,n-Nitrosodiphenylamine,
n-Nitrosomethylethylamine,n-Nitrosomethylethylamine,
n-Nitrosopiperidine,n-Nitrosopiperidine,
n-Nitrosopyrrolidine,n-Nitrosopyrrolidine,
Nonylphenol,Nonylphenol,25154-52-3
Nonylphenol ethoxylate,Nonylphenol ethoxylate,
Nonylphenols,Nonylphenols,
NOX,mono-nitrogen oxides NO and NO ₂,
n-Propyl Acetate,n-Propyl Acetate,109-60-4
n-Propylbenzene,n-Propylbenzene,
NTA (Nitrilotriacetic Acid),NTA (Nitrilotriacetic Acid),139-13-9
n-Valeric acid,n-Valeric acid,
O2,Oxygen,
o-Acetylsalicyclic Acid,o-Acetylsalicyclic Acid,50-78-2
o-Chlorotoluene,o-Chlorotoluene,
Octylphenol,Octylphenol,1806-26-4
Octylphenols,Octylphenols,
Odour,Odour,
Odour Description,Odour Description,
Odour Extent,Odour Extent,
Odour Intensity,Odour Intensity,
Oil and Grease,Oil and Grease,
Oil and Grease (Visual),Oil and Grease (Visual),
Oil and Grease Saponifiable,Oil and Grease Saponifiable,
Oil and Grease Unsaponifiable,Oil and Grease Unsaponifiable,
Oil/Grease,Oil/Grease,
Omethoate,Omethoate,1113-02-6
Organochlorine Pesticides,Organochlorine Pesticides,
Organohalogens,Organohalogens,
Organophosphorous compounds,Organophosphorous compounds,
Organophosphorus Compounds,Organophosphorus Compounds,
Organotin compounds,Organotin compounds,
Orthophosphate,Orthophosphate,
Orthophosphoric Acid,Orthophosphoric Acid,7664-38-2
Osmium Tetraoxide (As Os),Osmium Tetraoxide (As Os),20816-12-0
Other Energy Produced,Other Energy Produced,
Other inputs of water/moisture,Other inputs of water/moisture,
Other Solid Residues,Other Solid Residues,
o-Toluidene,o-Toluidene,95-53-4
o-toluidine,o-toluidine,
Oxalic Acid,Oxalic Acid,144-62-7
Oxides of Nitrogen (NO and NO2 expressed as NO2),Oxides of Nitrogen (NO and NO2 expressed as NO2),10102-44-0
Oxidisability,Oxidisability,
Oxydemeton-methyl,Oxydemeton-methyl,
Oxygen,Oxygen,7782-44-7
Ozone,Ozone,10028-15-6
"p,p-DDT (1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane)","p,p-DDT (1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane)",50-29-3
PAHs (Polycyclic Aromatic Hydrocarbons),PAHs (Polycyclic Aromatic Hydrocarbons),
"Paracetamol, Inhalable Dust","Paracetamol, Inhalable Dust",103-90-2
"Paraffin Wax, Fume","Paraffin Wax, Fume",8002-74-2
p-Aramid Respirable Fibres,p-Aramid Respirable Fibres,26125-61-1
"Paraquat Dichloride, Respirable Dust","Paraquat Dichloride, Respirable Dust",1910-42-5
Parathion,Parathion,56-38-2
Parathion-ethyl,Parathion-ethyl,
Parathion-methyl,Parathion-methyl,
Particles,Particles,
Particles (PM10),Particles (PM10),
Particulates,Particulates,
Particulates (PM10),Particulates (PM10),
PCB101,PCB101,
PCB118,PCB118,
PCB123,PCB123,
PCB138,PCB138,
PCB153,PCB153,
PCB180,PCB180,
PCB28,PCB28,
PCB52,PCB52,
PCBs (Polychlorinated Biphenyls),PCBs (Polychlorinated Biphenyls),1336-36-3
PCDDs and PCDFs (Polychlorinated Dibenzodioxins and Dibenzofurans),PCDDs and PCDFs (Polychlorinated Dibenzodioxins and Dibenzofurans),
p-Chloroaniline,p-Chloroaniline,
p-Chlorotoluene,p-Chlorotoluene,
PCSDs,PCSDs,
p-Dimethylaminoazobenzene,p-Dimethylaminoazobenzene,
Pendimethalin,Pendimethalin,40487-42-1
penta-BDPE (Pentabromodiphenyl Ether),penta-BDPE (Pentabromodiphenyl Ether),32534-81-9
Pentacarbonyliron (As Fe),Pentacarbonyliron (As Fe),13463-40-6
Pentachlorobenzene,Pentachlorobenzene,608-93-5
Pentachloroethane,Pentachloroethane,
Pentachloronitrobenzene,Pentachloronitrobenzene,
Pentachlorophenol,Pentachlorophenol,87-86-5
Pentachlorophenol (PCP),Pentachlorophenol (PCP),
Pentaerythritol,Pentaerythritol,115-77-5
Pentan-2-one,Pentan-2-one,107-87-9
Pentan-3-one,Pentan-3-one,96-22-0
Pentane,Pentane,109-66-0
Pentanes,Pentanes,
Pentyl Acetates (All Isomers),Pentyl Acetates (All Isomers),
Perfluorooctane Acid,Perfluorooctane Acid,
Perfluorooctane Sulphonate,Perfluorooctane Sulphonate,
Permanganate value,Permanganate value,
Permethrin,Permethrin,52645-53-1
Personnel,Personnel,
Pesticides - Total,Pesticides - Total,
"Pesticides (Other Than Aldrin, Dieldrin, Heptachlor, Heptachlor Epoxide)","Pesticides (Other Than Aldrin, Dieldrin, Heptachlor, Heptachlor Epoxide)",
Petroleum Hydrocarbons,Petroleum Hydrocarbons,
pH,pH,
Phenanthrene,Phenanthrene,
Phenanthrene ESG SVOC,Phenanthrene ESG SVOC,
Phenol,Phenol,108-95-2
Phenolic Compounds,Phenolic Compounds,
Phenols,Phenols,
Phenols (Phenol Index) Paranitraniline 4-Aminoantipyrene,Phenols (Phenol Index) Paranitraniline 4-Aminoantipyrene,
Phenols Monohydric,Phenols Monohydric,
Phenylamine,Phenylamine,
Phorate,Phorate,298-02-2
Phosalone,Phosalone,
Phosfamidon,Phosfamidon,
Phosgene,Phosgene,75-44-5
Phosphates,Phosphates,
Phosphine,Phosphine,7803-51-2
Phosphorus,Phosphorus,7723-14-0
Phosphorus Pentachloride,Phosphorus Pentachloride,10026-13-8
Phosphorus Trichloride,Phosphorus Trichloride,2125683
"Phosphorus, soluble reactive","Phosphorus, soluble reactive",
"Phosphorus, Total Inorganic","Phosphorus, Total Inorganic",
Phosphoryl Trichloride,Phosphoryl Trichloride,10025-87-3
Phthalic Anhydride,Phthalic Anhydride,85-44-9
Picloram,Picloram,6607
Picric Acid,Picric Acid,88-89-1
Piperazine,Piperazine,110-85-0
Piperazine Dihydrochloride,Piperazine Dihydrochloride,142-64-3
Piperidine,Piperidine,110-89-4
Pirimicarb,Pirimicarb,23103-98-2
Pirimiphos-ethyl,Pirimiphos-ethyl,
Pirimiphos-methyl,Pirimiphos-methyl,29232-93-7
p-isopropyltoluene,p-isopropyltoluene,
Plaster of Paris,Plaster of Paris,26499-65-0
Plate Count 22C,Plate Count 22C,
Plate Count 37C,Plate Count 37C,
Platinum,Platinum,2023600
"Platinum Compounds, Soluble (As Pt)","Platinum Compounds, Soluble (As Pt)",
PM10 24hra,PM10 24hra,
PM10 in Air,PM10 in Air,
PM2.5 24hra,PM2.5 24hra,
Poisonous substances,Poisonous substances,
Polyvinyl Chloride,Polyvinyl Chloride,9002-86-2
Portland Cement,Portland Cement,65997-15-1
Potassium,Potassium,
Potassium Hydroxide,Potassium Hydroxide,1310-58-3
Power Generated,Power Generated,
p-Phenylenediamine,p-Phenylenediamine,106-50-3
Precipitation,Precipitation,
Pressure,Pressure,
Presumptive Clostridia,Presumptive Clostridia,
Presumptive F.Coli,Presumptive F.Coli,
Presumptive T.Coli,Presumptive T.Coli,
PresumptiveEnterococci,PresumptiveEnterococci,
