name,alias,type,cas
"Indeno[1,2,3-cd]pyrene","Indeno (1,2,3-cd) pyrene 193 39 5",Chemical,
Iron and its compounds expressed as Iron (total Fe),Iron total as Fe,Chemical,
Iron and its compounds expressed as Iron (total Fe),"Iron, total as Fe",Chemical,
Isopropenylbenzene,Isopropylbenzene,Chemical,
1-Methylethylbenzene,Iso-Propylbenzene,Chemical,
Borehole Standing Depth of Liquid,Leachate above cell base,Physical,
Borehole Liquid Level AOD,leachate elevation,Physical,
Borehole Standing Depth of Liquid,leachate hd,Physical,
Borehole Standing Depth of Liquid,Leachate Head,Physical,
Borehole Liquid Level AOD,Leachate Level AOD,Physical,
Borehole Base AOD,Leachate Well Base,Physical,
Borehole Base AOD,Leachate Well Depth,Physical,
Borehole Reference Point AOD,Leachate Well Top,Physical,
Lead and its compounds expressed as Lead (total Pb),LeaD Total as Pb,Chemical,
Borehole Liquid Level AOD,Level (maOD),Chemical,
Ioxynil,Loxynil,Chemical,
Magnesium,Magnesium as Mg,Chemical,
Magnesium oxide,Magnesium Oxide (As Mg),Chemical,
Magnesium and its compounds expressed as Magnesium (total Mg),Magnesium Total as Mg,Chemical,
Potable water use,mains water,Physical,
Manganese,Manganese as Mn,Chemical,
Discharge Volume,Maximum daily volume,Physical,
Discharge Rate Maximum,Maximum rate of discharge,Physical,
Mecoprop,MCPP,Chemical,
Mecoprop,Mecanoprop,Chemical,
Mercury and its compounds expressed as Mercury (total Hg),Mercury Total as Hg,Chemical,
Methane,Methane Concentration,Chemical,
Methane,Methane concentration flux,Chemical,
Methane,Methane (% Gas In Air),Chemical,
Methane,Methane in ambient air,Chemical,
Methane,Methane (lab analysis),Chemical,
Methane,Methane(% low explosive  level) %,Chemical,
Methane,Methane Stable,Chemical,
1-Methylnaphthalene,methylnapthalene,Chemical,
Mineral oil,Mineral Oils,Chemical group,
"Phenols, monohydric",Mono-hydric phenols,Chemical group,
Xylene (m and p),"m, p-xylene",Chemical,
Xylene (m and p),"m,p-xylene",Chemical,
Xylene (m and p),m.p-xylene,Chemical,
Xylene (m and p),mp-xylene,Chemical group,
Xylene (m and p),m+p-Xylene,Chemical,
Sodium,Na,Chemical,
Naphthalene,napthalene,Chemical,
Ammoniacal Nitrogen as NH4,NH4,Chemical,
Ammoniacal Nitrogen as NH4,NH4-N,Chemical,
Nickel and its compounds expressed as nickel (total Ni),Nickel Total as Ni,Chemical,
Nitrate,Nitrate as NO3,Chemical,
Nitrate,Nitrate (NO3),Chemical,
Nitrite,Nitrates (NO3-N),Chemical group,
Nitrite,Nitrite as NO2,Chemical,
Nitrite,Nitrite (NO2),Chemical,
"Oxidised Nitrogen, total",Nitrogen Oxides,Chemical group,
Diethyltoluamide,N less than N_ Diethyl m toluamide,Chemical,134 62 3
Non-methane VOCs,NMVOCs,Chemical group,
Dipropylnitrosoamine,n-Nitroso-di-n-propylamine,Chemical,
Valeric acid,n-Valeric acid,Chemical,
Oxygen,O2,Chemical,
Oxygen,O2 stable,Chemical,
Oil and Grease,Oil and Grease (Visual),Physical,
Oil and Grease,Oil/Grease,Physical,
2-Methylphenol,O-Methylphenol,Chemical,
"DDE (O,P)","o,p-DDE",Chemical,
"DDT (O,P)","o,p-DDT",Chemical,
4-Chloroaniline,"o,p-TDE",Chemical,
"DDD (O,P)",OP-TDE,Chemical,
Oxides Of Nitrogen (NOX),Oxides of Nitrogen (NO and NO2 expressed as NO2),Chemical group,
Oxygen,Oxygen (lab analysis),Chemical,
Xylene (o),o-xylene,Chemical,
Xylene (o),O xylene,Chemical,
Particulate matter - PM10,Particles (PM10),Physical,
Particulate matter,particulate matter/dust,Physical,
Particulate matter,Particulates,Physical,
Particulate matter - PM10,Particulates (PM10),Physical,
Particulate matter - PM2.5,Particulates (PM2.5),Physical,
"Pesticides, total",Pesticides - Total,Chemical group,
Phosalone,Phorate,Chemical,
Phosphate,Phosphates,Chemical group,
Phosphorus,"Phosphorus, Total Inorganic",Chemical,
Borehole Base Below Ref Point,Plumb Depth,Physical,
Borehole Base Below Ref Point,Plumbed Base,Physical,
Borehole Base Below Ref Point,Plumb to Base,Physical,
Particulate matter - PM10,PM10 in Air,Physical,
Phosphate,PO4,Chemical,
Potassium,Potassium as K,Chemical,
Potassium and its compounds expressed as Potassium (total K),"Potassium, Total as K",Chemical,
Dichlorodiphenyldichloroethylene,"p,p-DDE",Chemical,
"DDT (P,P)","p,p-DDT",Chemical,
n-Propylbenzene,Propylbenzene,Chemical,
Purged Water Volume,Purge Volume,Physical,
Quintozene (PCNB),Quintozene,Chemical,
Borehole Reference Point AOD,Reference elevation,Physical,
Selenium,Selenium by ICP-MS,Chemical,
Sulphate,SO4,Chemical,
Sodium,Sodium as Na,Chemical,
Suspended Solids,Solids (Suspended at pH7),Physical,
Sulphate,Sulphate as SO4,Chemical,
Sulphate,Sulphates (SO4),Chemical,
Sulphide,Sulphide as S,Chemical,
Sulphite,Sulphites (SO3),Chemical,
Sulphur,sulphur as SO4,Chemical,
Xylene,Sum of detected Xylenes,Chemical,
SVOC,SVOCs,Chemical group,
SVOC,SVOC TICS,Chemical group,
4-Chloroaniline,"TDE (O,P)",Chemical,
"Solids, dissolved total",TDS,Physical,
Temperature,Temperature on site,Physical,
"1,1-Dimethylethylbenzene",tert-Butylbenzene,Chemical,
Tetrabutyltin,Tetrabutyl tin,Chemical,
Tetrachloroethane,Tetrachloroethane,Chemical,
Tetrachloroethene,Tetrachloroethylene,Chemical,
Tetrachloromethane,Tetrachloromethane (Carbon Tetrachloride),Chemical,
Total Organic Carbon,TOC as C,Physical,
Total Organic Carbon,TOC (Total Organic Carbon),Physical,
Borehole Reference Point AOD,Top of Borehole,Physical,
Aliphatics C12-C35 (aq),Total Aliphatics >C12-C35 (aq),Chemical group,
Alkalinity (Total),Total Alkalinity,Physical,
Anions total,Total Anions,Chemical group,
Chemical Oxygen Demand,Total COD load,Physical,
Discharge Volume,Total daily volume of discharge,Physical,
"Solids, dissolved total",Total Dissolved Solids,Physical,
Total Organic Carbon,Total Organic Carbon (TOC),Chemical,
"Oxidised Nitrogen, total",Total Oxidised Nitrogen (TON),Chemical,
TPH,Total Petroleum Hydrocarbons,Chemical group,
Volatile organic compounds (VOCs) (as carbon),Total Volatile Organic Compounds (VOCs),Chemical group,
TPH,TPH Aqueous Phase,Chemical group,
TPH C10-C16,TPH>C10-C16,Chemical group,
TPH C16-C24,TPH>C16-C24,Chemical group,
TPH C24-C40,TPH>C24-C40,Chemical group,
TPH C6-C40,TPH>C6-C40,Chemical group,
TPH C6-C8,TPH>C6-C8,Chemical group,
TPH C8-C10,TPH>C8-C10,Chemical group,
TPH,TPH GC,Chemical group,
"1,2-Dichloroethane","trans-1,2-Dichloroethane",Chemical,
"1,2-Dichloroethene","trans-1,2-Dichloroethene",Chemical,
"1,3-Dichloropropene","trans-1,3-Dichloropropene",Chemical,
Chlordane-trans,Trans Chlordane,Chemical,
Trichloroethene,Trichloroethylene,Chemical,
Triphenyltin and compounds - as TPT,Triphenyltin Compounds,Chemical group,
Volatile organic compounds (VOCs) (as carbon),TVOC,Chemical group,
Uranium,Uranium (low level),Chemical,
Chloroethene,Vinyl Chloride,Chemical,
Volatile organic compounds (VOCs) (as carbon),VOCs,Chemical group,
Volatile organic compounds (VOCs) (as carbon),VOC with TICs,Chemical group,
Discharge Volume,Volume,Physical,
Discharge Volume,Volume of Discharge,Physical,
Borehole Liquid Level Below Ref Point,Water level depth,Physical,
Borehole Liquid Level AOD,Water Level (mAOD),Physical,
Temperature water field,Water Temperature,Physical,
Borehole Standing Depth of Liquid,Well Head,Physical,
Wind Speed,wind gust,Physical,
Wind Direction,wind gust direction,Physical,
Xylene,Xylenes,Chemical group,
Xylene,Xylenes (o+p+m),Chemical group,
