"lic_wml","lic_name","lic_site","lic_epr","pas_permit","lic_othid"
"BJ9339IF","Biffa Waste Services Ltd","Skelton Grange Landfill Site",,"KP3939KV",
"BJ9339IF","Biffa Waste Services Ltd","Skelton Grange Landfill Site",,"LP3632AF",
"BJ9339IF","Biffa Waste Services Ltd","Skelton Grange Landfill Site",,"MP3931KS",
"BJ9339IF","Biffa Waste Services Ltd","Skelton Grange Landfill Site",,"PP3233NJ",
"BJ9339IF","Biffa Waste Services Ltd","Skelton Grange Landfill Site",,"SP3334RT",
"BJ9339IF","Biffa Waste Services Ltd","Skelton Grange Landfill Site",,"TP3032PJ",
"BJ9339IF","Biffa Waste Services Ltd","Skelton Grange Landfill Site",,"UP3935EC",
"BJ9339IF","Biffa Waste Services Ltd","Skelton Grange Landfill Site",,"WP3731NF",
"BJ9339IF","Biffa Waste Services Ltd","Skelton Grange Landfill Site",,"ZP3133ZA",
"BK0418IS","Hills Waste Solutions Limited","PARKGATE FARM WASTE MANAGEMENT FACILITY",,"AP3331VZ",
"BK0418IS","Hills Waste Solutions Limited","PARKGATE FARM WASTE MANAGEMENT FACILITY",,"BK0418IS",
"BK0418IS","Hills Waste Solutions Limited","PARKGATE FARM WASTE MANAGEMENT FACILITY",,"EP3435MA",
"BK0418IS","Hills Waste Solutions Limited","PARKGATE FARM WASTE MANAGEMENT FACILITY",,"GP3734VT",
"BK0418IS","Hills Waste Solutions Limited","PARKGATE FARM WASTE MANAGEMENT FACILITY",,"HP3534UU",
"BK0418IS","Hills Waste Solutions Limited","PARKGATE FARM WASTE MANAGEMENT FACILITY",,"RP3039GB",
"BK0418IS","Hills Waste Solutions Limited","PARKGATE FARM WASTE MANAGEMENT FACILITY",,"UP3931GX",
"BK0418IS","Hills Waste Solutions Limited","PARKGATE FARM WASTE MANAGEMENT FACILITY",,"YP3437LW",
"BK0507IB","Yorwaste Limited","Harewood Whin Landfill EPR/BK0507IB",,"BK0507IB",
"BK0507IB","Yorwaste Limited","Harewood Whin Landfill EPR/BK0507IB",,"BP3433NC",
"BK0507IB","Yorwaste Limited","Harewood Whin Landfill EPR/BK0507IB",,"HP3532LV",
"BK0507IB","Yorwaste Limited","Harewood Whin Landfill EPR/BK0507IB",,"KP3939AX",
"BK0507IB","Yorwaste Limited","Harewood Whin Landfill EPR/BK0507IB",,"TP3936GE",
"BK1244IA","SHUKCO 348 Ltd","Fair Oak Landfill EPR/BK1244IA",,"AP3637LY",
"BK1244IA","SHUKCO 348 Ltd","Fair Oak Landfill EPR/BK1244IA",,"BK1244IA",
"BK1244IA","SHUKCO 348 Ltd","Fair Oak Landfill EPR/BK1244IA",,"BP3133NX",
"BK1244IA","SHUKCO 348 Ltd","Fair Oak Landfill EPR/BK1244IA",,"CP3137EX",
"BK1244IA","SHUKCO 348 Ltd","Fair Oak Landfill EPR/BK1244IA",,"FP3435AG",
"BK1244IA","SHUKCO 348 Ltd","Fair Oak Landfill EPR/BK1244IA",,"GP3435DF",
"BK1244IA","SHUKCO 348 Ltd","Fair Oak Landfill EPR/BK1244IA",,"RP3837SB",
"BK1244IA","SHUKCO 348 Ltd","Fair Oak Landfill EPR/BK1244IA",,"YP3037AJ",
"BK1449IK","Tarmac Aggregates Limited","Cotesbach Landfill EPR/BK1449IK",,"AP3837GD",
"BK1449IK","Tarmac Aggregates Limited","Cotesbach Landfill EPR/BK1449IK",,"BK1449IK",
"BK1449IK","Tarmac Aggregates Limited","Cotesbach Landfill EPR/BK1449IK",,"BP3038RA",
"BK1449IK","Tarmac Aggregates Limited","Cotesbach Landfill EPR/BK1449IK",,"NP3630ZH",
"BK1449IK","Tarmac Aggregates Limited","Cotesbach Landfill EPR/BK1449IK",,"UP3733MC",
"BK1449IK","Tarmac Aggregates Limited","Cotesbach Landfill EPR/BK1449IK",,"WP3139XB",
"BK1449IK","Tarmac Aggregates Limited","Cotesbach Landfill EPR/BK1449IK",,"WP3335ES",
"BK1449IK","Tarmac Aggregates Limited","Cotesbach Landfill EPR/BK1449IK",,"YP3033AN",
"BK1449IK","Tarmac Aggregates Limited","Cotesbach Landfill EPR/BK1449IK",,"YP3433BQ",
"BK2348IU","Recovery Lancashire Limited","Clifton Marsh Landfill - Phase 4 EPR/BK2348IU",,"BK2348IU",
"BK2348IU","Recovery Lancashire Limited","Clifton Marsh Landfill - Phase 4 EPR/BK2348IU",,"BP3035DJ",
"BK2348IU","Recovery Lancashire Limited","Clifton Marsh Landfill - Phase 4 EPR/BK2348IU",,"LP3132LC",
"BK2348IU","Recovery Lancashire Limited","Clifton Marsh Landfill - Phase 4 EPR/BK2348IU",,"SP3433NU",
"BK2348IU","Recovery Lancashire Limited","Clifton Marsh Landfill - Phase 4 EPR/BK2348IU",,"WP3531NG",
"BK2348IU","Recovery Lancashire Limited","Clifton Marsh Landfill - Phase 4 EPR/BK2348IU",,"XP3634VP",
"BK2348IU","Recovery Lancashire Limited","Clifton Marsh Landfill - Phase 4 EPR/BK2348IU",,"YP3338TB",
"BK3166IP","RMC Environmental Services Ltd","Frampton Landfill EPR/BK3166IP",,"AP3137LF",
"BK3166IP","RMC Environmental Services Ltd","Frampton Landfill EPR/BK3166IP",,"BK3166IP",
"BK3166IP","RMC Environmental Services Ltd","Frampton Landfill EPR/BK3166IP",,"BQ3355IZ",
"BK3166IP","RMC Environmental Services Ltd","Frampton Landfill EPR/BK3166IP",,"BS6963IU",
"BK3166IP","RMC Environmental Services Ltd","Frampton Landfill EPR/BK3166IP",,"BX7037IL",
"BK3166IP","RMC Environmental Services Ltd","Frampton Landfill EPR/BK3166IP",,"HP3635PM",
"BK3166IP","RMC Environmental Services Ltd","Frampton Landfill EPR/BK3166IP",,"SP3330LR",
"BK3166IP","RMC Environmental Services Ltd","Frampton Landfill EPR/BK3166IP",,"TP3033NJ",
"BK3166IP","RMC Environmental Services Ltd","Frampton Landfill EPR/BK3166IP",,"TP3537RD",
"BK3166IP","RMC Environmental Services Ltd","Frampton Landfill EPR/BK3166IP",,"UP3233GD",
"BK3166IP","RMC Environmental Services Ltd","Frampton Landfill EPR/BK3166IP",,"UP3337CS",
"BK5037IQ","AmeyCespa (East) Limited","WATERBEACH WASTE MANAGEMENT FACILITY",,"BK5037IQ",
"BK5037IQ","AmeyCespa (East) Limited","WATERBEACH WASTE MANAGEMENT FACILITY",,"BT2220IL",
"BK5037IQ","AmeyCespa (East) Limited","WATERBEACH WASTE MANAGEMENT FACILITY",,"GP3633LR",
"BK5037IQ","AmeyCespa (East) Limited","WATERBEACH WASTE MANAGEMENT FACILITY",,"HP3437LP",
"BK5037IQ","AmeyCespa (East) Limited","WATERBEACH WASTE MANAGEMENT FACILITY",,"JP3030UZ",
"BK5037IQ","AmeyCespa (East) Limited","WATERBEACH WASTE MANAGEMENT FACILITY",,"PP3130DM",
"BK5037IQ","AmeyCespa (East) Limited","WATERBEACH WASTE MANAGEMENT FACILITY",,"SP3238CP",
"BK6572IM","DERBY CITY COUNCIL","PRIDE PARK SECOND WASTE REPOSITORY",,"BK6572IM",
"BK6572IM","DERBY CITY COUNCIL","PRIDE PARK SECOND WASTE REPOSITORY",,"BU0222IG",
"BK6785IE","Viridor Waste (Somerset) Ltd","Walpole Landfill Site EPR/BK6785IE",,"BK6785IE",
"BK6785IE","Viridor Waste (Somerset) Ltd","Walpole Landfill Site EPR/BK6785IE",,"CP3934MP",
"BK6785IE","Viridor Waste (Somerset) Ltd","Walpole Landfill Site EPR/BK6785IE",,"HP3439AW",
"BK6785IE","Viridor Waste (Somerset) Ltd","Walpole Landfill Site EPR/BK6785IE",,"PP3733HS",
"BK6785IE","Viridor Waste (Somerset) Ltd","Walpole Landfill Site EPR/BK6785IE",,"QP3937FZ",
"BK6785IE","Viridor Waste (Somerset) Ltd","Walpole Landfill Site EPR/BK6785IE",,"RP3038CR",
"BK6785IE","Viridor Waste (Somerset) Ltd","Walpole Landfill Site EPR/BK6785IE",,"RP3831GB",
"BK6785IE","Viridor Waste (Somerset) Ltd","Walpole Landfill Site EPR/BK6785IE",,"UP3336AJ",
"BK6785IE","Viridor Waste (Somerset) Ltd","Walpole Landfill Site EPR/BK6785IE",,"UP3933NW",
"BK6785IE","Viridor Waste (Somerset) Ltd","Walpole Landfill Site EPR/BK6785IE",,"ZP3138NV",
"BK6858ID","Viridor Waste Management Ltd","SANDS FARM LANDFILL",,"AP3231LB",
"BK6858ID","Viridor Waste Management Ltd","SANDS FARM LANDFILL",,"AP3733ZU",
"BK6858ID","Viridor Waste Management Ltd","SANDS FARM LANDFILL",,"BK6858ID",
"BK6858ID","Viridor Waste Management Ltd","SANDS FARM LANDFILL",,"CP3833FZ",
"BK6858ID","Viridor Waste Management Ltd","SANDS FARM LANDFILL",,"DP3136FX",
"BK6858ID","Viridor Waste Management Ltd","SANDS FARM LANDFILL",,"FP3534VM",
"BK6858ID","Viridor Waste Management Ltd","SANDS FARM LANDFILL",,"JP3133FX",
"BK6858ID","Viridor Waste Management Ltd","SANDS FARM LANDFILL",,"KP3235MD",
"BK6858ID","Viridor Waste Management Ltd","SANDS FARM LANDFILL",,"LP3238GY",
"BK6858ID","Viridor Waste Management Ltd","SANDS FARM LANDFILL",,"NP3732AE",
"BK6858ID","Viridor Waste Management Ltd","SANDS FARM LANDFILL",,"SP3132NY",
"BK6858ID","Viridor Waste Management Ltd","SANDS FARM LANDFILL",,"UP3133NB",
"BL4940IU","Catplant Quarry Ltd","HAZEL LANE QUARRY AND LANDFILL",,"BL4940IU",
"BL4940IU","Catplant Quarry Ltd","HAZEL LANE QUARRY AND LANDFILL",,"CP3235TR",
"BL4940IU","Catplant Quarry Ltd","HAZEL LANE QUARRY AND LANDFILL",,"GP3533NR",
"BL4940IU","Catplant Quarry Ltd","HAZEL LANE QUARRY AND LANDFILL",,"HP3931KY",
"BL4940IU","Catplant Quarry Ltd","HAZEL LANE QUARRY AND LANDFILL",,"KP3732XF",
"BL4940IU","Catplant Quarry Ltd","HAZEL LANE QUARRY AND LANDFILL",,"ZP3130MQ",
"BL9500IJ","Recovery Lancashire Limited","Whinney Hill (Phase 2) Landfill EPR/BL9500IJ",,"BL9500IJ",
"BL9500IJ","Recovery Lancashire Limited","Whinney Hill (Phase 2) Landfill EPR/BL9500IJ",,"KP3038AH",
"BL9500IJ","Recovery Lancashire Limited","Whinney Hill (Phase 2) Landfill EPR/BL9500IJ",,"RP3837RP",
"BL9500IJ","Recovery Lancashire Limited","Whinney Hill (Phase 2) Landfill EPR/BL9500IJ",,"RP3934GT",
"BL9500IJ","Recovery Lancashire Limited","Whinney Hill (Phase 2) Landfill EPR/BL9500IJ",,"SP3333KP",
"BL9500IJ","Recovery Lancashire Limited","Whinney Hill (Phase 2) Landfill EPR/BL9500IJ",,"WP3439LR",
"BL9500IJ","Recovery Lancashire Limited","Whinney Hill (Phase 2) Landfill EPR/BL9500IJ",,"YP3836CN",
"BL9518IE","Recovery Lancashire Limited","Jameson Road Landfill - Phase 2 EPR/BL9518IE",,"BL9518IE",
"BL9518IE","Recovery Lancashire Limited","Jameson Road Landfill - Phase 2 EPR/BL9518IE",,"KP3132LF",
"BL9518IE","Recovery Lancashire Limited","Jameson Road Landfill - Phase 2 EPR/BL9518IE",,"QP3834DL",
"BL9518IE","Recovery Lancashire Limited","Jameson Road Landfill - Phase 2 EPR/BL9518IE",,"SP3235DR",
"BL9518IE","Recovery Lancashire Limited","Jameson Road Landfill - Phase 2 EPR/BL9518IE",,"VP3638KR",
"BM4635IH","FCC Waste Services (UK) Limited","BLETCHLEY LANDFILL SITE",,"AP3036XR",
"BM4635IH","FCC Waste Services (UK) Limited","BLETCHLEY LANDFILL SITE",,"BM4635IH",
"BM4635IH","FCC Waste Services (UK) Limited","BLETCHLEY LANDFILL SITE",,"FP3033NK",
"BM4635IH","FCC Waste Services (UK) Limited","BLETCHLEY LANDFILL SITE",,"GP3339MS",
"BM4635IH","FCC Waste Services (UK) Limited","BLETCHLEY LANDFILL SITE",,"NP3431SB",
"BM4635IH","FCC Waste Services (UK) Limited","BLETCHLEY LANDFILL SITE",,"PP3233AT",
"BM4635IH","FCC Waste Services (UK) Limited","BLETCHLEY LANDFILL SITE",,"SP3030KC",
"BM4635IH","FCC Waste Services (UK) Limited","BLETCHLEY LANDFILL SITE",,"VP3536SY",
"BM4635IH","FCC Waste Services (UK) Limited","BLETCHLEY LANDFILL SITE",,"XP3237XP",
"BM4635IH","FCC Waste Services (UK) Limited","BLETCHLEY LANDFILL SITE",,"XP3238ZM",
"BM4635IH","FCC Waste Services (UK) Limited","BLETCHLEY LANDFILL SITE",,"XP3834VM",
"BM4635IH","FCC Waste Services (UK) Limited","BLETCHLEY LANDFILL SITE",,"YP3338NR",
"BM5941IH","Lakeland Waste Management","Flusco Pike Landfill EPR/BM5941IH",,"AP3736CC",
"BM5941IH","Lakeland Waste Management","Flusco Pike Landfill EPR/BM5941IH",,"BM5941IH",
"BM5941IH","Lakeland Waste Management","Flusco Pike Landfill EPR/BM5941IH",,"GP3737AA",
"BM5941IH","Lakeland Waste Management","Flusco Pike Landfill EPR/BM5941IH",,"HP3033HM",
"BM5941IH","Lakeland Waste Management","Flusco Pike Landfill EPR/BM5941IH",,"MP3830ZZ",
"BM5941IH","Lakeland Waste Management","Flusco Pike Landfill EPR/BM5941IH",,"SP3336EP",
"BM6026IB","Cumbria Waste Management Ltd","HESPIN WOOD LANDFILL SITE",,"BM6026IB",
"BM6026IB","Cumbria Waste Management Ltd","HESPIN WOOD LANDFILL SITE",,"EP3433KC",
"BM6026IB","Cumbria Waste Management Ltd","HESPIN WOOD LANDFILL SITE",,"FP3738RC",
"BM6026IB","Cumbria Waste Management Ltd","HESPIN WOOD LANDFILL SITE",,"JP3237NP",
"BM6026IB","Cumbria Waste Management Ltd","HESPIN WOOD LANDFILL SITE",,"MP3435GD",
"BM6026IB","Cumbria Waste Management Ltd","HESPIN WOOD LANDFILL SITE",,"NP3731UT",
"BM6026IB","Cumbria Waste Management Ltd","HESPIN WOOD LANDFILL SITE",,"NP3834HM",
"BM6026IB","Cumbria Waste Management Ltd","HESPIN WOOD LANDFILL SITE",,"QP3337HL",
"BM6026IB","Cumbria Waste Management Ltd","HESPIN WOOD LANDFILL SITE",,"VP3031LA",
"BM6026IB","Cumbria Waste Management Ltd","HESPIN WOOD LANDFILL SITE",,"ZP3531MT",
"BM6093IS","FCC Waste Services (UK) Limited","Bennett Bank Landfill",,"BM6093IS",
"BM6093IS","FCC Waste Services (UK) Limited","Bennett Bank Landfill",,"FP3633ND",
"BM6093IS","FCC Waste Services (UK) Limited","Bennett Bank Landfill",,"GP3938ZB",
"BM6093IS","FCC Waste Services (UK) Limited","Bennett Bank Landfill",,"JP3335MY",
"BM6093IS","FCC Waste Services (UK) Limited","Bennett Bank Landfill",,"NP3831AE",
"BM6093IS","FCC Waste Services (UK) Limited","Bennett Bank Landfill",,"PP3335VC",
"BM6093IS","FCC Waste Services (UK) Limited","Bennett Bank Landfill",,"VP3438GF",
"BM6093IS","FCC Waste Services (UK) Limited","Bennett Bank Landfill",,"WP3436XB",
"BP3032SG","Anti-Waste Ltd","Aldeby Landfill",,"BP3032SG",
"BP3032SG","Anti-Waste Ltd","Aldeby Landfill",,"HP3638XA",
"BP3032SG","Anti-Waste Ltd","Aldeby Landfill",,"NP3331KE",
"BP3032SG","Anti-Waste Ltd","Aldeby Landfill",,"NP3630RS",
"BP3032SG","Anti-Waste Ltd","Aldeby Landfill",,"QP3039HB",
"BP3032SG","Anti-Waste Ltd","Aldeby Landfill",,"SP3434NG",
"BP3032SG","Anti-Waste Ltd","Aldeby Landfill",,"ZP3433NC",
"BP3234LK","Infinis (Re-Gen) Ltd","Ling Hall Landfill Gas Utilisation Plant EPR/BP3234LK/V004",,"BP3234LK",
"BP3234LK","Infinis (Re-Gen) Ltd","Ling Hall Landfill Gas Utilisation Plant EPR/BP3234LK/V004",,"BP3439GW",
"BP3234LK","Infinis (Re-Gen) Ltd","Ling Hall Landfill Gas Utilisation Plant EPR/BP3234LK/V004",,"DP3236ME",
"BP3234LK","Infinis (Re-Gen) Ltd","Ling Hall Landfill Gas Utilisation Plant EPR/BP3234LK/V004",,"EP3035ZQ",
"BP3234LK","Infinis (Re-Gen) Ltd","Ling Hall Landfill Gas Utilisation Plant EPR/BP3234LK/V004",,"LP3435TK",
"BP3235SW","PremierAggregates Limited","Finmere Quarry Landfill  EPR/BP3235SW",,"BP3235SW",
"BP3235SW","PremierAggregates Limited","Finmere Quarry Landfill  EPR/BP3235SW",,"PP3938FN",
"BP3235SW","PremierAggregates Limited","Finmere Quarry Landfill  EPR/BP3235SW",,"YP3130KD",
"BP3238LV","CLP Envirogas Limited","Connon Bridge Landfill GUP EPR/BP3238LV",,"BP3238LV",
"BP3238LV","CLP Envirogas Limited","Connon Bridge Landfill GUP EPR/BP3238LV",,"DP3635UU",
"BP3238LV","CLP Envirogas Limited","Connon Bridge Landfill GUP EPR/BP3238LV",,"EP3835ZE",
"BP3238LV","CLP Envirogas Limited","Connon Bridge Landfill GUP EPR/BP3238LV",,"RP3030DM",
"BP3436VS","Biffa Waste Services Limited","Poplars PFA Landfill Site EPR/BP3436VS",,"BP3436VS",
"BP3436VS","Biffa Waste Services Limited","Poplars PFA Landfill Site EPR/BP3436VS",,"HP3632WU",
"BP3537PP","Biffa Waste Services Ltd","Eye North Eastern Landfill",,"BP3537PP",
"BP3537PP","Biffa Waste Services Ltd","Eye North Eastern Landfill",,"EP3431NF",
"BP3537PP","Biffa Waste Services Ltd","Eye North Eastern Landfill",,"FP3431HX",
"BP3537PP","Biffa Waste Services Ltd","Eye North Eastern Landfill",,"HP3837TV",
"BP3537PP","Biffa Waste Services Ltd","Eye North Eastern Landfill",,"KP3638AJ",
"BP3537PP","Biffa Waste Services Ltd","Eye North Eastern Landfill",,"RP3839ZC",
"BP3537PP","Biffa Waste Services Ltd","Eye North Eastern Landfill",,"VP3537XM",
"BP3537PP","Biffa Waste Services Ltd","Eye North Eastern Landfill",,"XP3639MB",
"BP3633LN","INOVYN Chlorvinyls Limited","Randle Landfill EPR/BP3633LN",,"BP3633LN",
"BP3633LN","INOVYN Chlorvinyls Limited","Randle Landfill EPR/BP3633LN",,"EP3531CS",
"BP3633LN","INOVYN Chlorvinyls Limited","Randle Landfill EPR/BP3633LN",,"GP3531HT",
"BP3633LN","INOVYN Chlorvinyls Limited","Randle Landfill EPR/BP3633LN",,"JP3435KY",
"BP3633LN","INOVYN Chlorvinyls Limited","Randle Landfill EPR/BP3633LN",,"LP3033CL",
"BP3633LN","INOVYN Chlorvinyls Limited","Randle Landfill EPR/BP3633LN",,"PP3930VN",
"BP3633LN","INOVYN Chlorvinyls Limited","Randle Landfill EPR/BP3633LN",,"RP3437AQ",
"BP3633LN","INOVYN Chlorvinyls Limited","Randle Landfill EPR/BP3633LN",,"XP3235XD",
"BP3635SB","Yorkshire Water Services Ltd","Holmes Farm Landfill, Blackburn Meadows",,"BP3635SB",
"BP3635SB","Yorkshire Water Services Ltd","Holmes Farm Landfill, Blackburn Meadows",,"LP3030MG",
"BP3638LP","CLP Envirogas Limited","Chelson Meadow Landfill GUP EPR/BP3638LP",,"BP3638LP",
"BP3638LP","CLP Envirogas Limited","Chelson Meadow Landfill GUP EPR/BP3638LP",,"JP3133GG",
"BP3638LP","CLP Envirogas Limited","Chelson Meadow Landfill GUP EPR/BP3638LP",,"RP3830DD",
"BP3638LP","CLP Envirogas Limited","Chelson Meadow Landfill GUP EPR/BP3638LP",,"VP3335ZJ",
"BR4713IV","Cory Environmental (Gloucestershire) Limited","Shortwood Quarry Landfill Site",,"BR4713IV",
"BR4713IV","Cory Environmental (Gloucestershire) Limited","Shortwood Quarry Landfill Site",,"FP3130RK",
"BR4713IV","Cory Environmental (Gloucestershire) Limited","Shortwood Quarry Landfill Site",,"FP3935TC",
"BR4713IV","Cory Environmental (Gloucestershire) Limited","Shortwood Quarry Landfill Site",,"NP3833NK",
"BR4713IV","Cory Environmental (Gloucestershire) Limited","Shortwood Quarry Landfill Site",,"UP3735UP",
"BR9677IT","Tarmac Aggregates Limited","Walleys Quarry Landfill Site EPR/BR9677IT",,"AP3534LZ",
"BR9677IT","Tarmac Aggregates Limited","Walleys Quarry Landfill Site EPR/BR9677IT",,"AP3935EV",
"BR9677IT","Tarmac Aggregates Limited","Walleys Quarry Landfill Site EPR/BR9677IT",,"BP3637EE",
"BR9677IT","Tarmac Aggregates Limited","Walleys Quarry Landfill Site EPR/BR9677IT",,"BR9677IT",
"BR9677IT","Tarmac Aggregates Limited","Walleys Quarry Landfill Site EPR/BR9677IT",,"GP3636EA",
"BR9677IT","Tarmac Aggregates Limited","Walleys Quarry Landfill Site EPR/BR9677IT",,"GP3939RR",
"BR9677IT","Tarmac Aggregates Limited","Walleys Quarry Landfill Site EPR/BR9677IT",,"HP3934DD",
"BR9677IT","Tarmac Aggregates Limited","Walleys Quarry Landfill Site EPR/BR9677IT",,"SP3230FF",
"BR9677IT","Tarmac Aggregates Limited","Walleys Quarry Landfill Site EPR/BR9677IT",,"YP3833AX",
"BS3263IC","Recovery Lancashire Limited","Salt Ayre Leachate Treatment Plant EPR/BS3263IC",,"BS3263IC",
"BS3263IC","Recovery Lancashire Limited","Salt Ayre Leachate Treatment Plant EPR/BS3263IC",,"HP3436EE",
"BS3263IC","Recovery Lancashire Limited","Salt Ayre Leachate Treatment Plant EPR/BS3263IC",,"LP3935DS",
"BS6939IN","BDR Waste Disposal Ltd","Thurcroft Landfill EPR/BS6939IN",,"BS6939IN",
"BS6939IN","BDR Waste Disposal Ltd","Thurcroft Landfill EPR/BS6939IN",,"UP3130DT",
"BS7340IH","Biffa Waste Services Ltd","Clifton Hall Landfill EPR/BS7340IH",,"BS7340IH",
"BS7340IH","Biffa Waste Services Ltd","Clifton Hall Landfill EPR/BS7340IH",,"HP3037TP",
"BS7340IH","Biffa Waste Services Ltd","Clifton Hall Landfill EPR/BS7340IH",,"HP3833GR",
"BS7340IH","Biffa Waste Services Ltd","Clifton Hall Landfill EPR/BS7340IH",,"JP3533NJ",
"BS7340IH","Biffa Waste Services Ltd","Clifton Hall Landfill EPR/BS7340IH",,"PP3536FS",
"BS7340IH","Biffa Waste Services Ltd","Clifton Hall Landfill EPR/BS7340IH",,"YP3538RL",
"BS7668IH","3C Waste Limited","Arpley Landfill",,"AP3831XB",
"BS7668IH","3C Waste Limited","Arpley Landfill",,"BS7668IH",
"BS7668IH","3C Waste Limited","Arpley Landfill",,"EP3939KH",
"BS7668IH","3C Waste Limited","Arpley Landfill",,"NP3036NJ",
"BS7668IH","3C Waste Limited","Arpley Landfill",,"NP3535HP",
"BS7668IH","3C Waste Limited","Arpley Landfill",,"PP3730NS",
"BS7668IH","3C Waste Limited","Arpley Landfill",,"VP3330RM",
"BS7668IH","3C Waste Limited","Arpley Landfill",,"VP3736XX",
"BS7722ID","3C Waste Limited","MAW GREEN LANDFILL SITE",,"BS7722ID",
"BS7722ID","3C Waste Limited","MAW GREEN LANDFILL SITE",,"FP3931XK",
"BS7722ID","3C Waste Limited","MAW GREEN LANDFILL SITE",,"GP3034NF",
"BS7722ID","3C Waste Limited","MAW GREEN LANDFILL SITE",,"KP3030NG",
"BS7722ID","3C Waste Limited","MAW GREEN LANDFILL SITE",,"UP3232LQ",
"BS7951IB","Viridor Waste Management Ltd","PILSWORTH SOUTH LANDFILL",,"BP3130ZC",
"BS7951IB","Viridor Waste Management Ltd","PILSWORTH SOUTH LANDFILL",,"BP3132GY",
"BS7951IB","Viridor Waste Management Ltd","PILSWORTH SOUTH LANDFILL",,"BS7951IB",
"BS7951IB","Viridor Waste Management Ltd","PILSWORTH SOUTH LANDFILL",,"EP3237VL",
"BS7951IB","Viridor Waste Management Ltd","PILSWORTH SOUTH LANDFILL",,"EP3732US",
"BS7951IB","Viridor Waste Management Ltd","PILSWORTH SOUTH LANDFILL",,"MP3733TF",
