,name,preferred,type,cas,parameter_groups
90,1-Butanethiol,,Chemical,,ECM
91,1-Chloro-4-nitrobenzene,,Chemical,,ECM
92,1-Chlorobutane,,Chemical,109-69-3,ECM
93,1-Decanethiol,,Chemical,,ECM
94,1-Docosene,,Chemical,,ECM
95,1-Ethyl-4-methylbenzene,,Chemical,,ECM
96,1-Hexacosene,,Chemical,,ECM
97,"1-Hexanol, 2 ethyl- (SVOCSW)",2-Ethylhexanol,,,ECM
98,1-Isopropenylnaphthalene,,Chemical,,ECM
99,1-Methoxy-2-propanol,,Chemical,,ECM
100,1-Methoxypropan-2-ol,1-Methoxy-2-propanol,,,ECM
101,1-Methoxypropyl acetate,,Chemical,84540-57-8,ECM
3429,1-Methyl pyrene,1-Methylpyrene,Chemical,2381-21-7,ECM
102,1-Methyl-2-pyrrolidone,,Chemical,,ECM
103,1-Methyl-4-(1-Methylethynyl)-Benzene,,Chemical,,ECM
104,1-Methylethylbenzene,,Chemical,98-82-8,ECM
105,1-Methylnaphthalene,,Chemical,,ECM
106,1-Methylpropyl acetate,,Chemical,,ECM
107,1-Methylpropylbenzene,,Chemical,135-98-8,ECM
3404,1-Methylpyrene,,Chemical,2381-21-7,ECM
108,1-Naphthylamine,,Chemical,134-32-7,ECM
109,1-Napthol,,Chemical,90-15-3,ECM
110,1-Nitropropane,,Chemical,0108-03-02,ECM
111,1-Octene,,Chemical,111-66-0,ECM
112,1-Pentene,,Chemical,109-67-1,ECM
113,"1-Phenanthrenecarboxylic Acid 1,2,3,4,4A,5,9,1",,Chemical,,ECM
114,1-Propanethiol,,Chemical,0107-03-09,ECM
117,"1-propanol, 2,2'oxybis",,Chemical,108-61-2,ECM
115,1-Propylamine,,Chemical,0107-10-08,ECM
116,1-Tridecanol,,Chemical,112-70-9,ECM
20,"1,1-dichloro-2,2-bis-ethane",,Chemical,,ECM
15,"1,1-Dichloroethane",,Chemical,75-34-3,ECM
16,"1,1-Dichloroethene",,Chemical,75-35-4,ECM
17,"1,1-Dichloroethylene","1,1-Dichloroethene",,,ECM
18,"1,1-Dichloropropene",,Chemical,563-58-6,ECM
19,"1,1-Dimethylethylbenzene",,Chemical,,ECM
8,"1,1,1-trichloro-2,2-ethane",,Chemical,,ECM
7,"1,1,1-Trichloroethane",,Chemical,,ECM
5,"1,1,1,2-Tetrachloroethane",Tetrachloroethane,,,ECM
6,"1,1,1,2-Tetrafluoroethane",,Chemical,811-97-2,ECM
14,"1,1,2-trichloro-1,2,2-trifluoro-ethane","1,1,2-Trichloro-1,2,2-trifluoroethane",,,ECM
11,"1,1,2-Trichloro-1,2,2-trifluoroethane",,Chemical,,ECM
12,"1,1,2-Trichloroethane",,Chemical,06/05/1971,ECM
13,"1,1,2-Trichloroethene",Trichloroethene,,,ECM
9,"1,1,2,2-Tetrabromoethane",,Chemical,79-27-6,ECM
10,"1,1,2,2-Tetrachloroethane",Tetrachloroethane,,,ECM
4,"1,1'-Oxydi-2-propanol",,Chemical,110-98-5,ECM
21,"1,19-Eicosadiene",,Chemical,,ECM
42,"1,2-Benzenedicarboxylic acid, mono(2-ethylhexyl) ester",,Chemical,4376-20-9,ECM
43,"1,2-Benzenediol",,Chemical,120-80-9,ECM
44,"1,2-Diaminoethane",,Chemical,107-15-3,ECM
45,"1,2-Dibromo-3-chloropropane",,Chemical,,ECM
46,"1,2-Dibromoethane",,Chemical,106-93-4,ECM
47,"1,2-Dichloro-1,1,2-trifluoroethane",,Chemical,354-23-4,ECM
48,"1,2-Dichlorobenzene",,Chemical,,ECM
49,"1,2-Dichloroethane",,Chemical,0107-06-02,ECM
50,"1,2-Dichloroethene",,Chemical,540-59-0 (mixture of isomers),ECM
51,"1,2-Dichloropropane",,Chemical,78-87-5,ECM
52,"1,2-Dichlorotetrafluoroethane",,Chemical,76-14-2,ECM
53,"1,2-Diethylaminoethanol",,Chemical,,ECM
58,"1,2-dihydroxyethane","Ethane-1,2-diol",,,ECM
54,"1,2-Dimethylethylene",,Chemical,0107-01-07,ECM
55,"1,2-Epoxybutane",,Chemical,106-88-7,ECM
56,"1,2-Epoxyethane","Ethylene oxide (1,2 Epoxyethane)",,,ECM
57,"1,2-Ethanedione",,Chemical,107-22-2,ECM
22,"1,2,3 Indeno (cd) pyrene","Indeno[1,2,3-cd]pyrene",,,ECM
36,"1,2,3-Trichlorobenzene",,Chemical,,ECM
3475,"1,2,3-Trichlorobenzene (LL)","1,2,3-Trichlorobenzene",Chemical,,ECM
37,"1,2,3-Trichloropropane",,Chemical,96-18-4,ECM
38,"1,2,3-Trimethylbenzene",,Chemical,,ECM
28,"1,2,3,4-Tetrachloro-benzene","1,2,3,4-Tetrachlorobenzene",,,ECM
29,"1,2,3,4-Tetrachlorobenzene",,Chemical,634-66-2,ECM
23,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",,Chemical,,ECM
24,"1,2,3,4,6,7,8-Heptachlorodibenzofuran",,Chemical,,ECM
26,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",,Chemical,,ECM
27,"1,2,3,4,7,8-Hexachlorodibenzofuran",,Chemical,,ECM
25,"1,2,3,4,7,8,9-Heptachlorodibenzofuran",,Chemical,,ECM
30,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",,Chemical,,ECM
31,"1,2,3,6,7,8-Hexachlorodibenzofuran",,Chemical,,ECM
34,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",,Chemical,,ECM
35,"1,2,3,7,8-Pentachlorodibenzofuran",,Chemical,,ECM
32,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",,Chemical,,ECM
33,"1,2,3,7,8,9-Hexachlorodibenzofuran",,Chemical,,ECM
3448,"1,2,4- and 1,3,5- Trimethylbenzene",,Chemical,,ECM
40,"1,2,4-Trichlorobenzene",,Chemical,,ECM
3476,"1,2,4-Trichlorobenzene (LL)","1,2,4-Trichlorobenzene",Chemical,,ECM
41,"1,2,4-Trimethylbenzene",,Chemical,,ECM
39,"1,2,4,5-Tetrachlorobenzene",,Chemical,95-94-3,ECM
59,"1,3 Dichlorobenzene","1,3-Dichlorobenzene",Chemical,541-73-1,ECM
65,"1,3-Benzenedicarboxylic acid",,Chemical,,ECM
66,"1,3-Butadiene",,Chemical,,ECM
67,"1,3-Dichloro-5,5-dimethylhydantoin",,Chemical,,ECM
68,"1,3-Dichlorobenzene",,,,ECM
69,"1,3-Dichloropropane",,Chemical,,ECM
70,"1,3-Dichloropropene",,Chemical,542-75-6,ECM
71,"1,3-Dihydroxybutane",,Chemical,107-88-0,ECM
72,"1,3-Dimethylbenzene",,Chemical,108-38-3,ECM
73,"1,3-Dinitrobenzene",,Chemical,99-65-0,ECM
74,"1,3-Propanediol, 2,2-dimethyl",Neopentyl glycol,,,ECM
60,"1,3,5 Trimethylbenzene",,Chemical,108-67-8,ECM
61,"1,3,5-Triazine",,Chemical,,ECM
62,"1,3,5-Trichlorobenzene",,Chemical,108-70-3,ECM
3477,"1,3,5-Trichlorobenzene (LL)","1,3,5-Trichlorobenzene",Chemical,,ECM
63,"1,3,5-Trimethylbenzene","1,3,5 Trimethylbenzene",,,ECM
64,"1,3,5-Trinitrobenzene",,Chemical,,ECM
75,"1,4-Benzenedicarbonyl chloride",,Chemical,100-20-9,ECM
76,"1,4-Benzenedicarboxylic acid",,Chemical,100-21-0,ECM
77,"1,4-Benzenedicarboxylic acid, dimethyl ester",,Chemical,120-61-6,ECM
78,"1,4-Benzoquinone",,Chemical,106-51-4,ECM
79,"1,4-Butanediol",,Chemical,110-63-4,ECM
80,"1,4-Diaminobenzene",,Chemical,106-50-3,ECM
81,"1,4-Dichlorobenzene",,Chemical,106-46-7,ECM
86,"1,4-diethylbenzene + butylbenzene",,Chemical Group,,ECM
82,"1,4-Dinitrobenzene",,Chemical,,ECM
83,"1,4-Dinitrobenzol","1,4-Dinitrobenzene",,,ECM
84,"1,4-Dioxane",,Chemical,,ECM
85,"1,4-Naphthoquinone",,Chemical,130-15-4,ECM
87,"1,6-Hexanolactam",,Chemical,,ECM
88,"1,8-Cineole",,Chemical,,ECM
3,1(2H)-Acenaphthylenone,,Chemical,2235-15-6,ECM
118,13-Docosenamide (TIC),,Chemical,112-84-5,ECM
119,"14-Octadecenoic acid, methyl ester (SVOCSW)",Methyl oleate,,,ECM
120,"16-(Thienylmethylene)Androstane-3,17-Diol SVOCS",,Chemical Group,,ECM
121,17-alpha-ethinylestradiol (EE2),,Chemical,,ECM
122,17-beta-estradiol (E2),,Chemical,,ECM
361,2-(2-(2-Ethoxyethoxy)ethoxy)ethanol,,Chemical,,ECM
362,2-(2-Butoxyethoxy)ethanol,,Chemical,,ECM
363,2-(2-Methoxyethoxy)ethanol,,Chemical,,ECM
360,"2-(2,4,5-trichlorophenoxy)propanoic acid",Fenoprop,,,ECM
364,2-(Dimethylamino)ethanol,,Chemical,,ECM
365,2-Acetylaminofluorene,,Chemical,53-96-3,ECM
366,2-Aminoethanol,,Chemical,,ECM
367,2-Butanone,Butan-2-one (Methyl ethyl ketone),,,ECM
368,"2-Butene, 1-bromo, 3-methyl",,Chemical,870-63-3,ECM
369,2-Butoxy ethanol,2-Butoxyethanol,,,ECM
370,2-Butoxyethanol,,Chemical,,ECM
371,2-Butoxyethanol acetate,,Chemical,,ECM
372,2-Butoxyethyl acetate,2-Butoxyethanol acetate,,,ECM
373,2-Chloroacetaldehyde,Chloroacetaldehyde,,,ECM
374,2-Chloroacetophenone,,Chemical,532-27-4,ECM
375,2-Chloroaniline,,Chemical,95-51-2,ECM
376,2-Chloroethanol,,Chemical,0107-07-03,ECM
377,2-Chloroethyl alcohol,2-Chloroethanol,,,ECM
378,2-Chloronaphthalene,,Chemical,91-58-7,ECM
379,2-Chlorophenol,,Chemical,95-57-8,ECM
380,2-Chlorophenol STLGFU,2-Chlorophenol,,,ECM
381,2-Chlorophenol STLPMP,2-Chlorophenol,,,ECM
443,2-chloropropylene oxide,Epichlorohydrin,,,ECM
382,2-Chlorotoluene,,Chemical,95-49-8,ECM
383,"2-Cyclopentene, 1,4-bis(methoxyethoxymethoxy)",,Chemical,,ECM
384,2-Dimethylaminoethanol,,Chemical,,ECM
385,2-Ethoxyethanol,,Chemical,,ECM
386,2-Ethoxyethyl acetate,,Chemical,,ECM
387,2-Ethylhexanoic acid,,Chemical,149-57-5,ECM
388,2-Ethylhexanol,,Chemical,,ECM
389,2-Ethylhexyl chloroformate,,Chemical,24468-13-1,ECM
390,2-Ethylhexyl mercaptoacetate (SVOCSW),,Chemical,7659-86-1,ECM
391,2-Ethylhexylacrylate,,Chemical,0103-11-07,ECM
392,2-Ethylphenol,,Chemical,90-00-6,ECM
393,2-Fluorobiphenyl,,Chemical,,ECM
394,2-Fluorophenol,,Chemical,,ECM
395,2-Formylhistamine,,Chemical,,ECM
396,2-Furaldehyde (Furfural),,Chemical,01/01/1998,ECM
397,2-Heptanone,,Chemical,110-43-0,ECM
444,2-hexanone,Hexan-2-one,,,ECM
398,"2-Hexen,3,5,5-trimethyl",,Chemical,,ECM
399,"2-Hexene,3,5,5-trimethyl",,Chemical,26456-76-8,ECM
400,2-Hydroxypropyl acrylate,,Chemical,25584-83-2,ECM
401,2-Isopropylphenol,,Chemical,88-69-7,ECM
402,2-Mercaptobenothiazole,,Chemical,,ECM
403,2-Mercaptobenzothiazole,,Chemical,149-30-4,ECM
404,2-Methoxy-1-methylethyl acetate,,Chemical,142300-82-1,ECM
405,"2-Methoxy-4-phenyl-5,8-quinolinedione",,Chemical,,ECM
406,2-Methoxyethanol,,Chemical,,ECM
407,2-Methoxyethyl acetate,,Chemical,110-49-6,ECM
408,2-Methyl Naphthalene,,Chemical,,ECM
3415,2-Methyl phenanthrene,2-Methylphenanthrene,Chemical,2531-84-2,ECM
3373,2-Methyl pyrene,2-Methylpyrene,Chemical,3442-78-2,ECM
409,2-Methyl-1-butanol,,Chemical,137-32-6,ECM
410,"2-Methyl-2,4-pentanediol",,Chemical,107-41-5,ECM
446,2-methyl-4-chlorophenoxyacetic acid,MCPA,,,ECM
445,"2-methyl-4,-dinitrophenol","4,6-Dinitro-2-methylphenol",,,ECM
411,2-Methylcyclohexanone,,Chemical,583-60-8,ECM
412,2-Methylcyclopentanone,,Chemical,1120-72-5,ECM
413,2-Methylnaphthalene,,Chemical,91-57-6,ECM
414,"2-Methylpentane-2,4-diol","2-Methyl-2,4-pentanediol",,,ECM
3394,2-Methylphenanthrene,,Chemical,2531-84-2,ECM
415,2-Methylphenol,,Chemical,95-48-7,ECM
416,2-Methylphenol STLGFV,2-Methylphenol,,,ECM
417,2-Methylphenol STLPJJ,2-Methylphenol,,,ECM
418,2-Methylpropan-1-ol,,Chemical,78-83-1,ECM
419,2-Methylpropan-2-ol,,Chemical,,ECM
420,2-Methylpropane,,Chemical,72-28-5,ECM
3433,2-Methylpyrene,,Chemical,3442-78-2,ECM
421,2-Methylpyridine,,Chemical,0109-06-08,ECM
422,2-Naphthylamine,,Chemical,91-59-8,ECM
423,2-Napthol,,Chemical,135-19-3,ECM
424,2-Nitroaniline,,Chemical,88-74-4,ECM
425,2-Nitrophenol,,Chemical,88-75-5,ECM
426,2-Nitropropane,,Chemical,79-46-9,ECM
427,2-Octanol,,Chemical,123-96-6,ECM
428,2-Oxazolidone,,Chemical,497-25-6,ECM
429,2-Pentacosanone,,Chemical,,ECM
430,"2-Pentanone, 4-hydroxy-4-methyl",4-Hydroxy-4-methylpentan-2-one,,,ECM
431,"2-Pentanone, 4-hydroxy-4-methyl-",,Chemical,123-42-2,ECM
432,2-Phenoxyethanol,,Chemical,122-99-6,ECM
433,2-Phenylpropene,Isopropenylbenzene,,,ECM
434,2-Picoline,2-Methylpyridine,,,ECM
435,"2-Propanol, 1-(2methoxy-1-methylethoxy)-",,Chemical,37286-64-9,ECM
436,"2-Propanol, 1-chloro-, phosphate",,Chemical,13674-84-5,ECM
437,"2-Propanol, 1-chloro-phosphate",,Chemical,,ECM
438,2-Propenylamine,,Chemical,75-31-0,ECM
439,2-Propenyloxy methyl oxirane,,Chemical,90907-93-0,ECM
440,"2-Propyn-1-ol, 3-(4-methylphenyl)-",,Chemical,,ECM
441,2-Pyridylamine,,Chemical,504-29-0,ECM
447,2-sec-Butylphenol,,Chemical,89-72-5,ECM
442,2-Tert-Butylcyclohexanol,,Chemical,13491-79-7,ECM
123,"2,2 Dichloropropane + 1,2 Dichloroethylene",,Chemical,,ECM
230,"2,2-Dichloropane+1,2-Dichloroethylene",,Chemical,,ECM
231,"2,2-Dichloropropane",,Chemical,,ECM
216,"2,2'-Dichloro-4,4'-methylenedianiline (MbOCA)",,Chemical,101-14-4,ECM
217,"2,2'-Dithiobisbenzothiazole",,Chemical,120-78-5,ECM
218,"2,2'-Iminodi(ethylamine)",Diethylenetriamine,,,ECM
219,"2,2'-Oxydiethanol",Diethylene glycol,,,ECM
124,"2,2',2""-Nitrilotriethanol",,Chemical,102-71-6,ECM
202,"2,2',3-Trichlorobiphenyl",,Chemical,,ECM
158,"2,2',3,3'-Tetrachlorobiphenyl",,Chemical,,ECM
150,"2,2',3,3',4-Pentachlorobiphenyl",,Chemical,,ECM
134,"2,2',3,3',4,4'-Hexachlorobiphenyl",,Chemical,,ECM
130,"2,2',3,3',4,4',5-Heptachlorobiphenyl",,Chemical,,ECM
127,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl",,Chemical,,ECM
126,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl",,Chemical,,ECM
129,"2,2',3,3',4,4',5,6-Octachlorobiphenyl",,Chemical,,ECM
128,"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl",,Chemical,,ECM
131,"2,2',3,3',4,4',5.6'-Octachlorobiphenyl",,Chemical,,ECM
133,"2,2',3,3',4,4',6-Heptachlorobiphenyl",,Chemical,,ECM
132,"2,2',3,3',4,4',6,6'-Octachlorobiphenyl",,Chemical,,ECM
146,"2,2',3,3',4,5-Hexachlorobiphenyl",,Chemical,,ECM
142,"2,2',3,3',4,5,5'-Heptachlorobiphenyl",,Chemical,,ECM
141,"2,2',3,3',4,5,5',6-Octachlorobiphenyl",,Chemical,,ECM
140,"2,2',3,3',4,5,5',6,6'-Nonachlorobiphenyl",,Chemical,,ECM
139,"2,2',3,3',4,5,5',6'-Octachlorobiphenyl",,Chemical,,ECM
145,"2,2',3,3',4,5,6-Heptachlorobiphenyl",,Chemical,,ECM
144,"2,2',3,3',4,5,6,6-Octachlorobiphenyl",,Chemical,,ECM
143,"2,2',3,3',4,5,6'-Heptachlorobiphenyl",,Chemical,,ECM
138,"2,2',3,3',4,5'-Hexachlorobiphenyl",,Chemical,,ECM
137,"2,2',3,3',4,5',6-Heptachlorobiphenyl",,Chemical,,ECM
136,"2,2',3,3',4,5',6,6'-Octachlorobiphenyl",,Chemical,,ECM
135,"2,2',3,3',4,5',6'-Heptachlorobiphenyl",,Chemical,,ECM
149,"2,2',3,3',4,6-Hexachlorobiphenyl",,Chemical,,ECM
148,"2,2',3,3',4,6,6'-Heptachlorobiphenyl",,Chemical,,ECM
147,"2,2',3,3',4,6'-Hexachlorobiphenyl",,Chemical,,ECM
155,"2,2',3,3',5-Pentachlorobiphenyl",,Chemical,,ECM
152,"2,2',3,3',5,5',6-Heptachlorobiphenyl",,Chemical,,ECM
151,"2,2',3,3',5,5',6,6'-Octachlorobiphenyl",,Chemical,,ECM
154,"2,2',3,3',5,6-Hexachlorobiphenyl",,Chemical,,ECM
153,"2,2',3,3',5,6,6'-Heptachlorobiphenyl",,Chemical,,ECM
157,"2,2',3,3',6-Pentachlorobiphenyl",,Chemical,,ECM
156,"2,2',3,3',6,6'-Hexachlorobiphenyl",,Chemical,,ECM
192,"2,2',3,4-tetrachlorobiphenyl",,Chemical,,ECM
180,"2,2',3,4,4'-Pentachlorobiphenyl",,Chemical,,ECM
176,"2,2',3,4,4',5-Hexachlorobiphenyl",,Chemical,,ECM
172,"2,2',3,4,4',5,5',6-Octachlorobiphenyl",,Chemical,,ECM
175,"2,2',3,4,4',5,6-Heptachlorobiphenyl",,Chemical,,ECM
174,"2,2',3,4,4',5,6,6'-Octachlorobiphenyl",,Chemical,,ECM
173,"2,2',3,4,4',5,6'-Heptachlorobiphenyl",,Chemical,,ECM
171,"2,2',3,4,4',5',6-Heptachlorobiphenyl",,Chemical,,ECM
179,"2,2',3,4,4',6-Hexachlorobiphenyl",,Chemical,,ECM
178,"2,2',3,4,4',6,6'-Heptachlorobiphenyl",,Chemical,,ECM
177,"2,2',3,4,4',6'-Hexachlorobiphenyl",,Chemical,,ECM
188,"2,2',3,4,5-Pentachlorobiphenyl",,Chemical,,ECM
183,"2,2',3,4,5,5'-Hexachlorobiphenyl",,Chemical,,ECM
184,"2,2',3,4,5,5'6-Heptachlorobiphenyl",,Chemical,,ECM
187,"2,2',3,4,5,6-Hexachlorobiphenyl",,Chemical,,ECM
186,"2,2',3,4,5,6,6'-Heptachlorobiphenyl",,Chemical,,ECM
185,"2,2',3,4,5,6'-Hexachlorobiphenyl",,Chemical,,ECM
182,"2,2',3,4,5'-Pentachlorobiphenyl",,Chemical,,ECM
181,"2,2',3,4,5',6-Hexachlorobiphenyl",,Chemical,,ECM
191,"2,2',3,4,6-Pentachlorobiphenyl",,Chemical,,ECM
190,"2,2',3,4,6,6'-Hexachlorobiphenyl",,Chemical,,ECM
189,"2,2',3,4,6'-Pentachlorobiphenyl",,Chemical,,ECM
170,"2,2',3,4'-Tetrachlorobiphenyl",,Chemical,,ECM
167,"2,2',3,4',5-Pentachlorobiphenyl",,Chemical,,ECM
163,"2,2',3,4',5,5'-Hexachlorobiphenyl",,Chemical,,ECM
162,"2,2',3,4',5,5',6-Heptachlorobiphenyl",,Chemical,,ECM
166,"2,2',3,4',5,6-Hexachlorobiphenyl",,Chemical,,ECM
165,"2,2',3,4',5,6,6'-Heptachlorobiphenyl",,Chemical,,ECM
164,"2,2',3,4',5,6'-Hexachlorobiphenyl",,Chemical,,ECM
161,"2,2',3,4',5'-Pentachlorobiphenyl",,Chemical,,ECM
160,"2,2',3,4',5',6-Hexachlorobiphenyl",,Chemical,,ECM
159,"2,2',3,4',5',6'-hexachlorobiphenyl",,Chemical,,ECM
169,"2,2',3,4',6-Pentachlorobiphenyl",,Chemical,,ECM
168,"2,2',3,4',6,6'-Hexachlorobiphenyl",,Chemical,,ECM
199,"2,2',3,5-Tetrachlorobiphenyl",,Chemical,,ECM
196,"2,2',3,5,5'-Pentachlorobiphenyl",,Chemical,,ECM
195,"2,2',3,5,5',6-Hexachlorobiphenyl",,Chemical,,ECM
198,"2,2',3,5,6-Pentachlorobiphenyl",,Chemical,,ECM
197,"2,2',3,5,6,6'-Hexachlorobiphenyl",,Chemical,,ECM
194,"2,2',3,5'-Tetrachlorobiphenyl",,Chemical,,ECM
193,"2,2',3,5',6-Pentachlorobiphenyl",,Chemical,,ECM
201,"2,2',3,6-Tetrachlorobiphenyl",,Chemical,,ECM
200,"2,2',3,6'-Tetrachlorobiphenyl",,Chemical,,ECM
125,"2,2',3',5,6-pentachlorobiphenyl",,Chemical,,ECM
213,"2,2',4-Trichlorobiphenyl",,Chemical,,ECM
204,"2,2',4,4',5-Pentachlorobiphenyl",,Chemical,,ECM
203,"2,2',4,4',5,6'-Hexachlorobiphenyl",,Chemical,,ECM
205,"2,2',4,4',6-Pentachlorobiphenyl",,Chemical,,ECM
209,"2,2',4,5-Tetrachlorobiphenyl",,Chemical,,ECM
208,"2,2',4,5,6'-Pentachlorobiphenyl",,Chemical,,ECM
207,"2,2',4,5'-Tetrachlorobiphenyl",,Chemical,,ECM
206,"2,2',4,5',6-Pentachlorobiphenyl",,Chemical,,ECM
212,"2,2',4,6-Tetrachlorobiphenyl",,Chemical,,ECM
211,"2,2',4,6,6'-Pentachlorobiphenyl",,Chemical,,ECM
210,"2,2',4,6'-Tetrachlorobiphenyl",,Chemical,,ECM
214,"2,2',5,6'-Tetrachlorobiphenyl",,Chemical,,ECM
215,"2,2',6-Trichlorobiphenyl",,Chemical,,ECM
222,"2,2'3,3',5,5'-Hexachlorobiphenyl",,Chemical,,ECM
223,"2,2'3,5,6'-Pentachlorobiphenyl",,Chemical,,ECM
224,"2,2'3,6,6'-Pentachlorobiphenyl",,Chemical,,ECM
220,"2,2'3',5,6'-pentachlorobiphenyl",,Chemical,,ECM
221,"2,2'3',6,6'-pentachlorobiphenyl",,Chemical,,ECM
225,"2,2'4,4'-Tetrachlorobiphenyl",,Chemical,,ECM
226,"2,2'4,4'6,6'-Hexachlorobiphenyl",,Chemical,,ECM
227,"2,2'5-Trichlorobiphenyl",,Chemical,,ECM
228,"2,2'6,6'-Tetrachlorobiphenyl",,Chemical,,ECM
229,"2,2'Dichlorobiphenyl",,Chemical,,ECM
304,"2,3-Dichlorophenol",,Chemical,,ECM
305,"2,3-Dimethylphenol",,Chemical,,ECM
306,"2,3-Xylenol","2,3-Dimethylphenol",,,ECM
283,"2,3,3'-Trichlorobiphenyl",,Chemical,,ECM
275,"2,3,3',4-Tetrachlorobiphenyl",,Chemical,,ECM
265,"2,3,3',4,4',5,5'-Heptachlorobiphenyl",,Chemical,,ECM
264,"2,3,3',4,4',5,5',6-Octachlorobiphenyl",,Chemical,,ECM
266,"2,3,3',4,4',5,6-Heptachlorobiphenyl",,Chemical,,ECM
263,"2,3,3',4,4',5'-Hexachlorobiphenyl",,Chemical,,ECM
262,"2,3,3',4,4',5',6-Heptachlorobiphenyl",,Chemical,,ECM
267,"2,3,3',4,4',6-Hexachlorobiphenyl",,Chemical,,ECM
273,"2,3,3',4,5-Pentachlorobiphenyl",,Chemical,,ECM
271,"2,3,3',4,5,5'-Hexachlorobiphenyl",,Chemical,,ECM
270,"2,3,3',4,5,5',6-Heptachlorobiphenyl",,Chemical,,ECM
272,"2,3,3',4,5,6-Hexachlorobiphenyl",,Chemical,,ECM
269,"2,3,3',4,5'-Pentachlorobiphenyl",,Chemical,,ECM
268,"2,3,3',4,5',6-Hexachlorobiphenyl",,Chemical,,ECM
274,"2,3,3',4,6-Pentachlorobiphenyl",,Chemical,,ECM
261,"2,3,3',4'-Tetrachlorobiphenyl",,Chemical,,ECM
